observer_count = 2, target_count = 3, radius = 5, iteration = 1, score = 0
observer_count = 2, target_count = 6, radius = 5, iteration = 1, score = 0
observer_count = 2, target_count = 3, radius = 5, iteration = 1, score = 0.0353333
observer_count = 2, target_count = 9, radius = 5, iteration = 1, score = 0
observer_count = 2, target_count = 15, radius = 5, iteration = 1, score = 0.0493334
observer_count = 2, target_count = 21, radius = 5, iteration = 1, score = 0.0806666
observer_count = 2, target_count = 27, radius = 5, iteration = 1, score = 0.156667
observer_count = 6, target_count = 3, radius = 5, iteration = 1, score = 0
observer_count = 6, target_count = 6, radius = 5, iteration = 1, score = 0.0473333
observer_count = 6, target_count = 9, radius = 5, iteration = 1, score = 0.275333
observer_count = 6, target_count = 15, radius = 5, iteration = 1, score = 0.504667
observer_count = 6, target_count = 21, radius = 5, iteration = 1, score = 0.459333
observer_count = 6, target_count = 27, radius = 5, iteration = 1, score = 0.432667
observer_count = 10, target_count = 3, radius = 5, iteration = 1, score = 0.157333
observer_count = 10, target_count = 6, radius = 5, iteration = 1, score = 0.0353334
observer_count = 10, target_count = 9, radius = 5, iteration = 1, score = 0.354
observer_count = 10, target_count = 15, radius = 5, iteration = 1, score = 0.721333
observer_count = 10, target_count = 21, radius = 5, iteration = 1, score = 0.625333
observer_count = 10, target_count = 27, radius = 5, iteration = 1, score = 1.434
observer_count = 14, target_count = 3, radius = 5, iteration = 1, score = 0.217333
observer_count = 14, target_count = 6, radius = 5, iteration = 1, score = 0.209333
observer_count = 14, target_count = 9, radius = 5, iteration = 1, score = 0.441333
observer_count = 14, target_count = 15, radius = 5, iteration = 1, score = 0.514
observer_count = 14, target_count = 21, radius = 5, iteration = 1, score = 0.880667
observer_count = 14, target_count = 27, radius = 5, iteration = 1, score = 1.984
observer_count = 18, target_count = 3, radius = 5, iteration = 1, score = 0.036
observer_count = 18, target_count = 6, radius = 5, iteration = 1, score = 0.774666
observer_count = 18, target_count = 9, radius = 5, iteration = 1, score = 0.397333
observer_count = 18, target_count = 15, radius = 5, iteration = 1, score = 1.21267
observer_count = 18, target_count = 21, radius = 5, iteration = 1, score = 1.00733
observer_count = 18, target_count = 27, radius = 5, iteration = 1, score = 1.662
observer_count = 2, target_count = 3, radius = 5, iteration = 2, score = 0
observer_count = 2, target_count = 6, radius = 5, iteration = 2, score = 0
observer_count = 2, target_count = 9, radius = 5, iteration = 2, score = 0.016
observer_count = 2, target_count = 15, radius = 5, iteration = 2, score = 0.404
observer_count = 2, target_count = 21, radius = 5, iteration = 2, score = 0.163333
observer_count = 2, target_count = 27, radius = 5, iteration = 2, score = 0.05
observer_count = 6, target_count = 3, radius = 5, iteration = 2, score = 0.0413333
observer_count = 6, target_count = 9, radius = 5, iteration = 2, score = 0.186667
observer_count = 6, target_count = 15, radius = 5, iteration = 2, score = 0.191333
