observer_count = 12, target_count = 24, radius = 5, iteration = 1, score = 1.18333, selectionStrategy = 1, crossover_strategy = 1, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 1, score = 0.897999, selectionStrategy = 1, crossover_strategy = 2, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 1, score = 1.47, selectionStrategy = 1, crossover_strategy = 2, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 1, score = 1.52933, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 1, score = 1.172, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 1, score = 1.114, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 1, score = 1.23, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 2, score = 1.37667, selectionStrategy = 1, crossover_strategy = 1, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 2, score = 1.40933, selectionStrategy = 1, crossover_strategy = 1, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 2, score = 1.62533, selectionStrategy = 1, crossover_strategy = 2, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 2, score = 1.30533, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 2, score = 1.09, selectionStrategy = 2, crossover_strategy = 1, crossover_probability = 0.85
observer_count = 12, target_count = 24, radius = 5, iteration = 2, score = 1.01667, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.95
observer_count = 12, target_count = 24, radius = 5, iteration = 2, score = 1.512, selectionStrategy = 2, crossover_strategy = 2, crossover_probability = 0.85
